UF,CIDADE,PIB,POPULACAO,PIB_PERCAPITA,COD_TSE
PR,LEÓPOLIS,50136.58984375,4316,11616.45019531,76619
PR,INÁCIO MARTINS,75978.65625,11431,6646.72021484,75990
PR,TAMARANA,106447.703125,11577,9194.75976562,75663
PR,FÊNIX,68322.6484375,5017,13618.23046875,75515
PR,IRETAMA,76621.3125,11510,6656.93017578,76090
PR,SÃO JORGE DO IVAÍ,107663.90625,5382,20004.43945312,78794
PR,JUSSARA,125054.046875,6240,20040.7109375,76538
PR,LUNARDELLI,40139.4140625,5094,7879.74023438,84590
PR,ENGENHEIRO BELTRÃO,214099.921875,14280,14992.99023438,75477
PR,JACAREZINHO,498248.78125,40582,12277.58007812,76295
PR,VERÊ,101084.9609375,8078,12513.61035156,79456
PR,CRUZ MACHADO,123444.9375,19132,6452.27978516,75337
PR,ARAUCÁRIA,11962877.0,117964,101411.2578125,74357
PR,IBIPORÃ,1081024.25,47514,22751.69921875,75914
PR,FRANCISCO ALVES,56896.1328125,6389,8905.33007812,79774
PR,FLOR DA SERRA DO SUL,52964.69140625,4742,11169.26953125,74349
PR,ALTO PARANÁ,104750.40625,13435,7796.83007812,74098
PR,JAGUAPITÃ,200335.109375,12414,16137.83984375,76317
PR,JOAQUIM TÁVORA,159289.140625,10755,14810.70996094,76490
PR,ANTONINA,187649.9375,17743,10576.0,74217
PR,PIÊN,280972.4375,11811,23789.05078125,77615
PR,BOM SUCESSO,54343.4140625,6676,8140.12011719,74616
PR,GOIOXIM,74918.0859375,8240,9092.0,75388
PR,GRANDES RIOS,53536.4375,7839,6829.5,79596
PR,PINHAL DE SÃO BENTO,21329.3046875,2600,8203.58007812,74640
PR,SÃO PEDRO DO PARANÁ,30827.7265625,2561,12037.37988281,78930
PR,PORTO RICO,29434.99804688,2521,11675.91992188,77836
PR,CAMBARÁ,319224.59375,25102,12717.09960938,74691
PR,ALTO PIQUIRI,107586.5625,10406,10338.90039062,74110
PR,SÃO PEDRO DO IVAÍ,156357.171875,9921,15760.21972656,78913
PR,JAPIRA,37893.3984375,4797,7899.39013672,76392
PR,SANTO ANTÔNIO DO PARAÍSO,28536.078125,2315,12326.59960938,78638
PR,SANTA TEREZA DO OESTE,122129.3515625,9320,13104.00976562,74080
PR,PAULO FRONTIN,87603.8515625,7398,11841.55957031,77550
PR,IVATUBA,31708.81835938,2786,11381.49023438,76252
PR,PINHAIS,2381652.75,118319,20129.08007812,75043
PR,FORMOSA DO OESTE,98713.546875,7453,13244.80957031,75612
PR,CORUMBATAÍ DO SUL,30388.60351562,4220,7201.08984375,75280
PR,IVATÉ,118656.671875,8294,14306.33007812,74462
PR,SANTA AMÉLIA,31057.0078125,4105,7565.64990234,78395
PR,RIO BONITO DO IGUAÇU,118062.1875,15121,7807.83007812,74748
PR,CAMPO MOURÃO,1710904875.0,85896,19918.33007812,74837
PR,NOVA LONDRINA,164492.28125,12898,12753.3203125,77259
PR,SANTA CRUZ DE MONTE CASTELO,86949.40625,8015,10848.33984375,78433
PR,CALIFÓRNIA,56040.73828125,7767,7215.24023438,74675
PR,NOVA FÁTIMA,64224.46875,8259,7776.29980469,77232
PR,FRANCISCO BELTRÃO,1176560375.0,76311,15417.96972656,75655
PR,SANTA TEREZINHA DE ITAIPU,254992.921875,20539,12415.05957031,84670
PR,ÂNGULO,32694.72851562,2893,11301.3203125,74128
PR,KALORÉ,48218.3984375,4718,10220.08984375,76554
PR,GUARACI,38261.27734375,5183,7382.06982422,75795
PR,LUIZIANA,146517.78125,7357,19915.41992188,75809
PR,DIAMANTE DO SUL,26999.47070312,3791,7121.99023438,74268
PR,LARANJAL,44649.85546875,6339,7043.66992188,74985
PR,HONÓRIO SERPA,96662.96875,6180,15641.25976562,74365
PR,SÃO JOÃO DO IVAÍ,126352.34375,11890,10626.76953125,78751
PR,MARUMBI,34303.30078125,4154,8257.90039062,76970
PR,MERCEDES,76281.640625,4902,15561.33007812,74560
PR,PARANACITY,140555.96875,9946,14131.91015625,77437
PR,SÃO JORGE DO PATROCÍNIO,43224.23046875,6080,7109.25,79995
PR,PLANALTINA DO PARANÁ,45960.53515625,3864,11894.54980469,77739
PR,ALVORADA DO SUL,97418.75,9255,10526.0703125,74136
PR,NOVA LARANJEIRAS,87150.453125,11577,7527.89990234,74586
PR,CAFELÂNDIA,439807.0625,14034,31338.6796875,79855
PR,NOVA SANTA ROSA,126507.46875,7965,15882.91992188,79790
PR,TERRA BOA,135372.40625,15069,8983.5,79170
PR,RANCHO ALEGRE D'OESTE,56572.75390625,2976,19009.66015625,74721
PR,TAPEJARA,226308.21875,15367,14726.90039062,79111
PR,JAPURÁ,75535.453125,8663,8719.3203125,76414
PR,BARBOSA FERRAZ,96583.484375,13995,6901.27978516,74470
PR,ICARAÍMA,92969.8984375,9296,10001.05957031,75930
PR,ESPIGÃO ALTO DO IGUAÇU,48089.51953125,5200,9247.98046875,75329
PR,TURVO,141484.265625,14363,9850.61035156,84530
PR,CIDADE GAÚCHA,162055.78125,11079,14627.29003906,75078
PR,FLORAÍ,78503.890625,5158,15219.83007812,75531
PR,ORTIGUEIRA,207916.859375,25002,8316.00976562,77275
PR,SANTA MÔNICA,36312.3671875,3642,9970.45019531,74829
PR,GUAIRAÇÁ,77366.6171875,5867,13186.74023438,75736
PR,FLORESTA,64081.80078125,5417,11829.75976562,75558
PR,SÃO JERÔNIMO DA SERRA,88022.515625,11905,7393.74023438,78697
PR,BARRACÃO,161459.640625,9267,17423.08007812,74497
PR,CAMPINA GRANDE DO SUL,474162.09375,36825,12876.08984375,74772
PR,FOZ DO IGUAÇU,6702200.0,325137,20613.4609375,75639
PR,QUATRO PONTES,70688.1484375,3800,18602.15039062,74683
PR,GUAMIRANGA,51657.69140625,7918,6524.08007812,75426
PR,BARRA DO JACARÉ,30978.61328125,2860,10831.6796875,74519
PR,MATINHOS,285869.65625,23925,11948.58007812,79634
PR,JESUÍTAS,101374.3671875,8849,11456.01953125,79979
PR,SÃO JOSÉ DAS PALMEIRAS,33569.58984375,3942,8515.87988281,84719
PR,IGUATU,26631.96679688,2372,11227.63964844,74381
PR,SERRANÓPOLIS DO IGUAÇU,63763.00390625,4362,14617.83984375,75647
PR,PÉROLA D'OESTE,66206.90625,7202,9192.84960938,77593
PR,CRUZEIRO DO SUL,53375.25390625,4574,11669.26953125,75310
PR,SÃO SEBASTIÃO DA AMOREIRA,91327.15625,9012,10133.95019531,78956
PR,FLÓRIDA,25106.36328125,2535,9903.88964844,75590
PR,NOVA SANTA BÁRBARA,30520.80859375,3984,7660.85009766,74608
PR,UNIÃO DA VITÓRIA,575714.25,53466,10767.86035156,79375
PR,OURO VERDE DO OESTE,69727.703125,5648,12345.55957031,74063
PR,CAPANEMA,261982.484375,18681,14024.00976562,74870
PR,CAMPINA DA LAGOA,171502.40625,16243,10558.54003906,74756
PR,UBIRATÃ,290151375.0,21558,13459.09960938,79332
PR,MARIPÁ,137408.859375,5673,24221.55078125,74500
PR,QUARTO CENTENÁRIO,86670.2265625,4881,17756.65039062,75582
PR,ATALAIA,45475.09375,3645,12476.01953125,74411
PR,LINDOESTE,56746.328125,5419,10471.73046875,74047
PR,PRUDENTÓPOLIS,412503.53125,51008,8087.04003906,77917
PR,BOA ESPERANÇA,105978.96875,4742,22349.0,74578
PR,MORRETES,110162.96875,17000,6480.16992188,77097
PR,ROLÂNDIA,1135146.75,56352,20143.859375,78255
PR,GUAPOREMA,28115.47070312,2250,12495.75976562,75779
PR,BALSA NOVA,266858.5,11252,23716.5390625,74438
PR,TOMAZINA,67385.4609375,8808,7650.47998047,79294
PR,GUARAPUAVA,2424968.75,172728,14039.23046875,75833
PR,ESPERANÇA NOVA,16553.70507812,1836,9016.1796875,75302
PR,VENTANIA,103164.28125,11239,9179.12988281,74900
